alpha	beta	eta	r
0.018877615	1.3485E-05	10.1307373	1.683096793
0.010045108	3.765576553	8.275493564	87.55211323
0.972559467	2.16175577	0.054730586	0.109457716
0.006690308	0.002701818	322.1790026	18.34381328
0.005926041	0.001204494	201.8240207	15.04408599
1.424838739	1.941201678	0.0030615	1.324108649
0.059387351	0.256735328	632.0898387	11.20520478
1.219096936	0.001356427	0.293452507	1.792607917
0.679897677	69.55957862	58.75272247	17.70409028
0.099684473	1.037036476	0.001688197	2.748899901
0.001029564	0.005170982	0.414762863	0.034235059
0.567844959	4.606635908	0.001177499	0.861166698
5.019873665	560.4461118	0.000158593	1.254188262
153.8477457	4886.333554	0.001329599	32.88737033
0.044510123	2.44591E-05	47.5022197	53.53191846
0.044510123	2.44591E-05	47.5022197	53.53191846
0.727581219	1.575409047	0.137461305	0.051490401
75.12272903	3672.944691	0.002118705	7.451579706
0.181323449	4.09894E-05	1.060728848	3.268028567
22.51202773	1432.288812	0.001133464	1.666860346
0.041026608	3.16927E-05	15.89983824	1.0465312
0.002027012	0.017336772	0.211948529	0.016374631
0.02025839	0.023260499	0.6435064	0.010332621
7.922831605	35.72508914	2.330845274	0.195502065
0.070829412	0.002747752	1138.873441	95.58180335
0.002115138	0.080152777	10.26388282	45.88134788
0.011483291	0.232416289	567.3854969	11.45083731
0.037119391	0.036677906	1.671806887	0.018232456
0.00961692	3.05E-006	5.887278786	3.805326676
0.045016684	3.12788E-05	771.3858935	26.92276316
75.61660617	1552.016922	0.003251846	30.07376596
0.001709979	0.012145538	0.217365671	0.015147088
0.176068738	0.166510109	417.2759326	48.49540802
11.26980652	1157.562743	0.002884698	158.9939553
0.010699724	0.002964533	220.5571583	10.5573838
1.58299767	0.001237046	0.257256116	21.09752362
0.994537414	1.461825687	0.001706884	2.169238778
0.941284637	0.364182377	0.893455662	0.040771653
0.364531019	0.112596372	164.7042972	58.38447013
0.125723852	0.423432473	0.119925815	0.032903321
1.887358778	0.002330588	0.209861463	11.46187322
